,Ingredient 1,Ingredient 2,Ingredient 3,Effects
24630,GleamblossomDG xx00b097,Nordic Barnacle 0007edf5,Orange Dartwing 000bb956,"Regenerate Health, Fortify Pickpocket"
24631,GleamblossomDG xx00b097,Nordic Barnacle 0007edf5,Poison BloomDG xx0185fb,"Regenerate Health, Fear"
24632,GleamblossomDG xx00b097,Nordic Barnacle 0007edf5,Powdered Mammoth Tusk 0006bc10,"Regenerate Health, Fear"
24633,GleamblossomDG xx00b097,Nordic Barnacle 0007edf5,Salmon RoeHF xx003545,"Regenerate Health, Waterbreathing"
24634,GleamblossomDG xx00b097,Nordic Barnacle 0007edf5,Slaughterfish Egg 0007e8c5,"Regenerate Health, Fortify Pickpocket"
24635,GleamblossomDG xx00b097,Nordic Barnacle 0007edf5,Swamp Fungal Pod 0007e8b7,"Regenerate Health, Paralysis"
24636,GleamblossomDG xx00b097,Nordic Barnacle 0007edf5,Trama RootDB xx017008,"Regenerate Health, Damage Magicka"
24637,GleamblossomDG xx00b097,Nordic Barnacle 0007edf5,Tundra Cotton 0003f7f8,"Regenerate Health, Resist Magic"
24638,GleamblossomDG xx00b097,Nordic Barnacle 0007edf5,Void Salts 0003ad60,"Regenerate Health, Resist Magic"
24639,GleamblossomDG xx00b097,Nordic Barnacle 0007edf5,Wisp Wrappings 0006bc0e,"Regenerate Health, Resist Magic"
24640,GleamblossomDG xx00b097,Orange Dartwing 000bb956,Powdered Mammoth Tusk 0006bc10,"Fear, Restore Stamina"
24641,GleamblossomDG xx00b097,Orange Dartwing 000bb956,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
24642,GleamblossomDG xx00b097,Pearl 000854fe,Powdered Mammoth Tusk 0006bc10,"Fear, Restore Stamina"
24643,GleamblossomDG xx00b097,Pearl 000854fe,Swamp Fungal Pod 0007e8b7,"Paralysis, Resist Shock"
24644,GleamblossomDG xx00b097,Pearl 000854fe,Tundra Cotton 0003f7f8,"Fortify Block, Resist Magic"
24645,GleamblossomDG xx00b097,Pearl 000854fe,Vampire Dust 0003ad76,"Restore Magicka, Regenerate Health"
24646,GleamblossomDG xx00b097,Pearl 000854fe,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
24647,GleamblossomDG xx00b097,Pine Thrush Egg 00023d6f,Powdered Mammoth Tusk 0006bc10,"Fear, Restore Stamina"
24648,GleamblossomDG xx00b097,Pine Thrush Egg 00023d6f,Swamp Fungal Pod 0007e8b7,"Paralysis, Resist Shock"
24649,GleamblossomDG xx00b097,Pine Thrush Egg 00023d6f,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
24650,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,,Fear
24651,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Red Mountain Flower 00077e1d,"Damage Health, Fear"
24652,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,River Betty 00106e1a,"Fortify Carry Weight, Damage Health, Fear, Slow"
24653,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Salt Pile 00074a19,"Fear, Slow"
24654,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Scaly Pholiota 0006f950,"Fortify Carry Weight, Fear"
24655,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Skeever Tail 0003ad6f,"Damage Health, Fear"
24656,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Small Antlers 0006bc0b,"Damage Health, Fear"
24657,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Swamp Fungal Pod 0007e8b7,"Paralysis, Fear"
24658,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Trama RootDB xx017008,"Fortify Carry Weight, Fear, Slow"
24659,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Troll Fat 0003ad72,"Damage Health, Fear"
24660,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Tundra Cotton 0003f7f8,"Fear, Resist Magic"
24661,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Vampire Dust 0003ad76,"Regenerate Health, Fear"
24662,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Void Salts 0003ad60,"Damage Health, Fear, Resist Magic"
24663,GleamblossomDG xx00b097,Poison BloomDG xx0185fb,Wisp Wrappings 0006bc0e,"Fortify Carry Weight, Fear, Resist Magic"
24664,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,,Fear
24665,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,Purple Mountain Flower 00077e1e,"Fear, Restore Stamina, Fortify Sneak"
24666,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,Sabre Cat Tooth 0006bc04,"Fear, Restore Stamina"
24667,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,Salmon RoeHF xx003545,"Fear, Restore Stamina"
24668,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,Silverside Perch 00106e1c,"Fear, Restore Stamina"
24669,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,Small Pearl 00085500,"Fear, Restore Stamina"
24670,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,Swamp Fungal Pod 0007e8b7,"Paralysis, Fear"
24671,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,Torchbug Thorax 0004da73,"Fear, Restore Stamina"
24672,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,Tundra Cotton 0003f7f8,"Fear, Resist Magic"
24673,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,Vampire Dust 0003ad76,"Regenerate Health, Fear"
24674,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,Void Salts 0003ad60,"Fear, Resist Magic"
24675,GleamblossomDG xx00b097,Powdered Mammoth Tusk 0006bc10,Wisp Wrappings 0006bc0e,"Fear, Restore Stamina, Resist Magic"
24676,GleamblossomDG xx00b097,Purple Mountain Flower 00077e1e,Swamp Fungal Pod 0007e8b7,"Paralysis, Lingering Damage Magicka"
24677,GleamblossomDG xx00b097,Purple Mountain Flower 00077e1e,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
24678,GleamblossomDG xx00b097,Red Mountain Flower 00077e1d,Tundra Cotton 0003f7f8,"Fortify Magicka, Resist Magic"
24679,GleamblossomDG xx00b097,Red Mountain Flower 00077e1d,Vampire Dust 0003ad76,"Restore Magicka, Regenerate Health"
24680,GleamblossomDG xx00b097,Red Mountain Flower 00077e1d,Void Salts 0003ad60,"Damage Health, Fortify Magicka, Resist Magic"
24681,GleamblossomDG xx00b097,River Betty 00106e1a,Void Salts 0003ad60,"Damage Health, Resist Magic"
24682,GleamblossomDG xx00b097,River Betty 00106e1a,Wisp Wrappings 0006bc0e,"Fortify Carry Weight, Resist Magic"
24683,GleamblossomDG xx00b097,Rock Warbler Egg 0007e8c8,Swamp Fungal Pod 0007e8b7,"Paralysis, Restore Health"
24684,GleamblossomDG xx00b097,Sabre Cat Tooth 0006bc04,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
24685,GleamblossomDG xx00b097,Salmon RoeHF xx003545,Tundra Cotton 0003f7f8,"Fortify Magicka, Resist Magic"
24686,GleamblossomDG xx00b097,Salmon RoeHF xx003545,Void Salts 0003ad60,"Fortify Magicka, Resist Magic"
24687,GleamblossomDG xx00b097,Salmon RoeHF xx003545,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
24688,GleamblossomDG xx00b097,Scaly Pholiota 0006f950,Wisp Wrappings 0006bc0e,"Fortify Carry Weight, Resist Magic"
24689,GleamblossomDG xx00b097,Silverside Perch 00106e1c,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
24690,GleamblossomDG xx00b097,Skeever Tail 0003ad6f,Void Salts 0003ad60,"Damage Health, Resist Magic"
24691,GleamblossomDG xx00b097,Slaughterfish Scales 0003ad70,Tundra Cotton 0003f7f8,"Fortify Block, Resist Magic"
24692,GleamblossomDG xx00b097,Small Antlers 0006bc0b,Void Salts 0003ad60,"Damage Health, Resist Magic"
24693,GleamblossomDG xx00b097,Small Pearl 00085500,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
24694,GleamblossomDG xx00b097,Snowberries 0001b3bd,Swamp Fungal Pod 0007e8b7,"Paralysis, Resist Shock"
24695,GleamblossomDG xx00b097,Swamp Fungal Pod 0007e8b7,,Paralysis
24696,GleamblossomDG xx00b097,Swamp Fungal Pod 0007e8b7,Torchbug Thorax 0004da73,"Paralysis, Lingering Damage Magicka"
24697,GleamblossomDG xx00b097,Swamp Fungal Pod 0007e8b7,Tundra Cotton 0003f7f8,"Paralysis, Resist Magic"
24698,GleamblossomDG xx00b097,Swamp Fungal Pod 0007e8b7,Vampire Dust 0003ad76,"Regenerate Health, Paralysis"
24699,GleamblossomDG xx00b097,Swamp Fungal Pod 0007e8b7,Void Salts 0003ad60,"Paralysis, Resist Magic"
24700,GleamblossomDG xx00b097,Swamp Fungal Pod 0007e8b7,Wheat 0004b0ba,"Paralysis, Restore Health, Lingering Damage Magicka"
24701,GleamblossomDG xx00b097,Swamp Fungal Pod 0007e8b7,Wisp Wrappings 0006bc0e,"Paralysis, Resist Magic"
24702,GleamblossomDG xx00b097,Taproot 0003ad71,Vampire Dust 0003ad76,"Restore Magicka, Regenerate Health"
24703,GleamblossomDG xx00b097,Torchbug Thorax 0004da73,Wisp Wrappings 0006bc0e,"Restore Stamina, Resist Magic"
24704,GleamblossomDG xx00b097,Trama RootDB xx017008,Void Salts 0003ad60,"Weakness to Shock, Resist Magic"
24705,GleamblossomDG xx00b097,Trama RootDB xx017008,Wisp Wrappings 0006bc0e,"Fortify Carry Weight, Resist Magic"
24706,GleamblossomDG xx00b097,Troll Fat 0003ad72,Void Salts 0003ad60,"Damage Health, Resist Magic"
24707,GleamblossomDG xx00b097,Tundra Cotton 0003f7f8,,Resist Magic
24708,GleamblossomDG xx00b097,Tundra Cotton 0003f7f8,Vampire Dust 0003ad76,"Regenerate Health, Resist Magic"
24709,GleamblossomDG xx00b097,Vampire Dust 0003ad76,,Regenerate Health
24710,GleamblossomDG xx00b097,Vampire Dust 0003ad76,Void Salts 0003ad60,"Regenerate Health, Resist Magic"
24711,GleamblossomDG xx00b097,Vampire Dust 0003ad76,White Cap 0004da22,"Restore Magicka, Regenerate Health"
24712,GleamblossomDG xx00b097,Vampire Dust 0003ad76,Wisp Wrappings 0006bc0e,"Regenerate Health, Resist Magic"
24713,GleamblossomDG xx00b097,Void Salts 0003ad60,,Resist Magic
24714,GleamblossomDG xx00b097,Wisp Wrappings 0006bc0e,,Resist Magic
24715,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,,"Resist Shock, Fortify Destruction"
24716,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Hagraven Feathers 0003ad66,"Resist Shock, Fortify Destruction, Damage Magicka"
24717,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Hanging Moss 00057f91,"Damage Magicka Regen, Fortify Health, Resist Shock, Fortify Destruction, Damage Magicka"
24718,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Hawk's EggHF xx00f1cc,"Damage Magicka Regen, Resist Shock, Fortify Destruction"
24719,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Human Heart 000b18cd,"Damage Magicka Regen, Resist Shock, Fortify Destruction, Damage Magicka"
24720,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Luna Moth Wing 000727df,"Resist Shock, Fortify Destruction, Damage Magicka"
24721,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Namira's Rot 0004da24,"Resist Shock, Fortify Destruction, Damage Magicka"
24722,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Nightshade 0002f44c,"Damage Magicka Regen, Resist Shock, Fortify Destruction"
24723,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Nordic Barnacle 0007edf5,"Resist Shock, Fortify Destruction, Damage Magicka"
24724,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Sabre Cat Tooth 0006bc04,"Fortify Smithing, Resist Shock, Fortify Destruction"
24725,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Spider Egg 0009151b,"Damage Magicka Regen, Resist Shock, Fortify Destruction"
24726,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Spriggan Sap 00063b5f,"Fortify Smithing, Damage Magicka Regen, Resist Shock, Fortify Destruction"
24727,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Trama RootDB xx017008,"Resist Shock, Fortify Destruction, Damage Magicka"
24728,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Wheat 0004b0ba,"Fortify Health, Resist Shock, Fortify Destruction"
24729,Glow Dust 0003ad73,Glowing Mushroom 0007ee01,Yellow Mountain FlowerDG xx002a78,"Fortify Health, Resist Shock, Fortify Destruction"
24730,Glow Dust 0003ad73,Grass Pod 00083e64,Pearl 000854fe,"Restore Magicka, Resist Shock"
24731,Glow Dust 0003ad73,Grass Pod 00083e64,Spriggan Sap 00063b5f,"Damage Magicka Regen, Fortify Alteration"
24732,Glow Dust 0003ad73,Hagraven Claw 0006b689,Hawk's EggHF xx00f1cc,"Damage Magicka Regen, Resist Magic"
24733,Glow Dust 0003ad73,Hagraven Claw 0006b689,Snowberries 0001b3bd,"Resist Shock, Fortify Enchanting"
24734,Glow Dust 0003ad73,Hagraven Claw 0006b689,Spriggan Sap 00063b5f,"Damage Magicka Regen, Fortify Enchanting"
24735,Glow Dust 0003ad73,Hagraven Claw 0006b689,Swamp Fungal Pod 0007e8b7,"Resist Shock, Lingering Damage Magicka"
24736,Glow Dust 0003ad73,Hagraven Claw 0006b689,Wisp Wrappings 0006bc0e,"Fortify Destruction, Resist Magic"
24737,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,,Damage Magicka
24738,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Hawk Beak 000e7ebc,"Resist Shock, Damage Magicka"
24739,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Hawk's EggHF xx00f1cc,"Damage Magicka Regen, Damage Magicka"
24740,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Human Heart 000b18cd,"Damage Magicka Regen, Frenzy, Damage Magicka"
24741,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Lavender 00045c28,"Fortify Conjuration, Damage Magicka"
24742,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Nightshade 0002f44c,"Damage Magicka Regen, Fortify Destruction, Damage Magicka"
24743,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Pearl 000854fe,"Resist Shock, Damage Magicka"
24744,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Pine Thrush Egg 00023d6f,"Resist Shock, Damage Magicka"
24745,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Snowberries 0001b3bd,"Resist Shock, Damage Magicka"
24746,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Spider Egg 0009151b,"Damage Magicka Regen, Damage Magicka"
24747,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Spriggan Sap 00063b5f,"Damage Magicka Regen, Damage Magicka"
24748,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Swamp Fungal Pod 0007e8b7,"Resist Shock, Damage Magicka"
24749,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Troll Fat 0003ad72,"Frenzy, Damage Magicka"
24750,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Void Salts 0003ad60,"Weakness to Shock, Damage Magicka"
24751,Glow Dust 0003ad73,Hagraven Feathers 0003ad66,Wisp Wrappings 0006bc0e,"Fortify Destruction, Damage Magicka"
24752,Glow Dust 0003ad73,Hanging Moss 00057f91,,"Damage Magicka Regen, Damage Magicka"
24753,Glow Dust 0003ad73,Hanging Moss 00057f91,Hawk Beak 000e7ebc,"Damage Magicka Regen, Resist Shock, Damage Magicka"
24754,Glow Dust 0003ad73,Hanging Moss 00057f91,Hawk Feathers 000e7ed0,"Damage Magicka Regen, Fortify One-handed, Damage Magicka"
24755,Glow Dust 0003ad73,Hanging Moss 00057f91,Nightshade 0002f44c,"Damage Magicka Regen, Fortify Destruction, Damage Magicka"
24756,Glow Dust 0003ad73,Hanging Moss 00057f91,Pearl 000854fe,"Damage Magicka Regen, Resist Shock, Damage Magicka"
24757,Glow Dust 0003ad73,Hanging Moss 00057f91,Pine Thrush Egg 00023d6f,"Damage Magicka Regen, Resist Shock, Damage Magicka"
24758,Glow Dust 0003ad73,Hanging Moss 00057f91,Rock Warbler Egg 0007e8c8,"Damage Magicka Regen, Fortify One-handed, Damage Magicka"
24759,Glow Dust 0003ad73,Hanging Moss 00057f91,Small Pearl 00085500,"Damage Magicka Regen, Fortify One-handed, Damage Magicka"
24760,Glow Dust 0003ad73,Hanging Moss 00057f91,Snowberries 0001b3bd,"Damage Magicka Regen, Resist Shock, Damage Magicka"
24761,Glow Dust 0003ad73,Hanging Moss 00057f91,Swamp Fungal Pod 0007e8b7,"Damage Magicka Regen, Resist Shock, Damage Magicka"
24762,Glow Dust 0003ad73,Hanging Moss 00057f91,Wheat 0004b0ba,"Damage Magicka Regen, Fortify Health, Damage Magicka"
24763,Glow Dust 0003ad73,Hanging Moss 00057f91,Wisp Wrappings 0006bc0e,"Damage Magicka Regen, Fortify Destruction, Damage Magicka"
24764,Glow Dust 0003ad73,Hanging Moss 00057f91,Yellow Mountain FlowerDG xx002a78,"Damage Magicka Regen, Fortify Health, Damage Magicka"
24765,Glow Dust 0003ad73,Hawk Beak 000e7ebc,,Resist Shock
24766,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Hawk's EggHF xx00f1cc,"Damage Magicka Regen, Resist Shock"
24767,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Histcarp 00106e18,"Restore Stamina, Resist Shock"
24768,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Honeycomb 000b08c5,"Restore Stamina, Resist Shock"
24769,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Human Heart 000b18cd,"Damage Magicka Regen, Resist Shock, Damage Magicka"
24770,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Large Antlers 0006bc0a,"Restore Stamina, Resist Shock"
24771,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Luna Moth Wing 000727df,"Resist Shock, Damage Magicka"
24772,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Moon Sugar 000d8e3f,"Resist Frost, Resist Shock"
24773,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Mudcrab Chitin 0006bc00,"Restore Stamina, Resist Shock"
24774,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Namira's Rot 0004da24,"Resist Shock, Damage Magicka"
24775,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Netch JellyDB xx01cd72,"Fortify Carry Weight, Restore Stamina, Resist Shock"
24776,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Nightshade 0002f44c,"Damage Magicka Regen, Resist Shock, Fortify Destruction"
24777,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Nordic Barnacle 0007edf5,"Resist Shock, Damage Magicka"
24778,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Orange Dartwing 000bb956,"Restore Stamina, Resist Shock"
24779,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Poison BloomDG xx0185fb,"Fortify Carry Weight, Resist Shock"
24780,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Powdered Mammoth Tusk 0006bc10,"Restore Stamina, Resist Shock"
24781,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Purple Mountain Flower 00077e1e,"Resist Frost, Restore Stamina, Resist Shock"
24782,Glow Dust 0003ad73,Hawk Beak 000e7ebc,River Betty 00106e1a,"Fortify Carry Weight, Resist Shock"
24783,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Sabre Cat Tooth 0006bc04,"Restore Stamina, Resist Shock"
24784,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Salmon RoeHF xx003545,"Restore Stamina, Resist Shock"
24785,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Scaly Pholiota 0006f950,"Fortify Carry Weight, Resist Shock"
24786,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Silverside Perch 00106e1c,"Resist Frost, Restore Stamina, Resist Shock"
24787,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Slaughterfish Scales 0003ad70,"Resist Frost, Resist Shock"
24788,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Small Pearl 00085500,"Resist Frost, Restore Stamina, Resist Shock"
24789,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Spider Egg 0009151b,"Damage Magicka Regen, Resist Shock"
24790,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Spriggan Sap 00063b5f,"Damage Magicka Regen, Resist Shock"
24791,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Thistle Branch 000134aa,"Resist Frost, Resist Shock"
24792,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Torchbug Thorax 0004da73,"Restore Stamina, Resist Shock"
24793,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Trama RootDB xx017008,"Fortify Carry Weight, Resist Shock, Damage Magicka"
24794,Glow Dust 0003ad73,Hawk Beak 000e7ebc,Wisp Wrappings 0006bc0e,"Fortify Carry Weight, Restore Stamina, Resist Shock, Fortify Destruction"
24795,Glow Dust 0003ad73,Hawk Feathers 000e7ed0,Luna Moth Wing 000727df,"Fortify Light Armor, Damage Magicka"
24796,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,,Damage Magicka Regen
24797,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Histcarp 00106e18,"Damage Magicka Regen, Waterbreathing"
24798,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Lavender 00045c28,"Damage Magicka Regen, Resist Magic"
24799,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Luna Moth Wing 000727df,"Damage Magicka Regen, Damage Magicka"
24800,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Namira's Rot 0004da24,"Damage Magicka Regen, Damage Magicka"
24801,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Nightshade 0002f44c,"Damage Magicka Regen, Lingering Damage Stamina, Fortify Destruction"
24802,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Nirnroot 00059b86,"Damage Magicka Regen, Resist Magic"
24803,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Nordic Barnacle 0007edf5,"Damage Magicka Regen, Waterbreathing, Damage Magicka"
24804,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Pearl 000854fe,"Damage Magicka Regen, Resist Shock"
24805,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Pine Thrush Egg 00023d6f,"Damage Magicka Regen, Resist Shock"
24806,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Salmon RoeHF xx003545,"Damage Magicka Regen, Waterbreathing"
24807,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Small Antlers 0006bc0b,"Damage Magicka Regen, Lingering Damage Stamina"
24808,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Snowberries 0001b3bd,"Damage Magicka Regen, Resist Shock"
24809,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Swamp Fungal Pod 0007e8b7,"Damage Magicka Regen, Resist Shock"
24810,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Trama RootDB xx017008,"Damage Magicka Regen, Damage Magicka"
24811,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Tundra Cotton 0003f7f8,"Damage Magicka Regen, Resist Magic"
24812,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Void Salts 0003ad60,"Damage Magicka Regen, Resist Magic"
24813,Glow Dust 0003ad73,Hawk's EggHF xx00f1cc,Wisp Wrappings 0006bc0e,"Damage Magicka Regen, Fortify Destruction, Resist Magic"
24814,Glow Dust 0003ad73,Histcarp 00106e18,Nordic Barnacle 0007edf5,"Waterbreathing, Damage Magicka"
24815,Glow Dust 0003ad73,Histcarp 00106e18,Pearl 000854fe,"Restore Stamina, Resist Shock"
24816,Glow Dust 0003ad73,Histcarp 00106e18,Pine Thrush Egg 00023d6f,"Restore Stamina, Resist Shock"
24817,Glow Dust 0003ad73,Histcarp 00106e18,Wisp Wrappings 0006bc0e,"Restore Stamina, Fortify Destruction"
24818,Glow Dust 0003ad73,Honeycomb 000b08c5,Luna Moth Wing 000727df,"Fortify Light Armor, Damage Magicka"
24819,Glow Dust 0003ad73,Honeycomb 000b08c5,Pearl 000854fe,"Fortify Block, Restore Stamina, Resist Shock"
24820,Glow Dust 0003ad73,Honeycomb 000b08c5,Pine Thrush Egg 00023d6f,"Restore Stamina, Resist Shock"
24821,Glow Dust 0003ad73,Honeycomb 000b08c5,Wisp Wrappings 0006bc0e,"Restore Stamina, Fortify Destruction"
24822,Glow Dust 0003ad73,Human Flesh 001016b3,Human Heart 000b18cd,"Damage Health, Damage Magicka Regen, Damage Magicka"
24823,Glow Dust 0003ad73,Human Flesh 001016b3,Nightshade 0002f44c,"Damage Health, Damage Magicka Regen, Fortify Destruction"
24824,Glow Dust 0003ad73,Human Flesh 001016b3,Pearl 000854fe,"Restore Magicka, Resist Shock"
24825,Glow Dust 0003ad73,Human Flesh 001016b3,Swamp Fungal Pod 0007e8b7,"Paralysis, Resist Shock"
24826,Glow Dust 0003ad73,Human Heart 000b18cd,,"Damage Magicka Regen, Damage Magicka"
24827,Glow Dust 0003ad73,Human Heart 000b18cd,Imp Stool 0004da23,"Damage Health, Damage Magicka Regen, Damage Magicka"
24828,Glow Dust 0003ad73,Human Heart 000b18cd,Nightshade 0002f44c,"Damage Health, Damage Magicka Regen, Fortify Destruction, Damage Magicka"
24829,Glow Dust 0003ad73,Human Heart 000b18cd,Nirnroot 00059b86,"Damage Health, Damage Magicka Regen, Damage Magicka"
24830,Glow Dust 0003ad73,Human Heart 000b18cd,Pearl 000854fe,"Damage Magicka Regen, Resist Shock, Damage Magicka"
24831,Glow Dust 0003ad73,Human Heart 000b18cd,Pine Thrush Egg 00023d6f,"Damage Magicka Regen, Resist Shock, Damage Magicka"
24832,Glow Dust 0003ad73,Human Heart 000b18cd,Poison BloomDG xx0185fb,"Damage Health, Damage Magicka Regen, Damage Magicka"
24833,Glow Dust 0003ad73,Human Heart 000b18cd,Red Mountain Flower 00077e1d,"Damage Health, Damage Magicka Regen, Damage Magicka"
24834,Glow Dust 0003ad73,Human Heart 000b18cd,River Betty 00106e1a,"Damage Health, Damage Magicka Regen, Damage Magicka"
24835,Glow Dust 0003ad73,Human Heart 000b18cd,Skeever Tail 0003ad6f,"Damage Health, Damage Magicka Regen, Damage Magicka"
24836,Glow Dust 0003ad73,Human Heart 000b18cd,Small Antlers 0006bc0b,"Damage Health, Damage Magicka Regen, Damage Magicka"
24837,Glow Dust 0003ad73,Human Heart 000b18cd,Snowberries 0001b3bd,"Damage Magicka Regen, Resist Shock, Damage Magicka"
24838,Glow Dust 0003ad73,Human Heart 000b18cd,Swamp Fungal Pod 0007e8b7,"Damage Magicka Regen, Resist Shock, Damage Magicka"
24839,Glow Dust 0003ad73,Human Heart 000b18cd,Troll Fat 0003ad72,"Damage Health, Damage Magicka Regen, Frenzy, Damage Magicka"
24840,Glow Dust 0003ad73,Human Heart 000b18cd,Void Salts 0003ad60,"Damage Health, Damage Magicka Regen, Damage Magicka"
24841,Glow Dust 0003ad73,Human Heart 000b18cd,Wisp Wrappings 0006bc0e,"Damage Magicka Regen, Fortify Destruction, Damage Magicka"
24842,Glow Dust 0003ad73,Ice Wraith Teeth 0003ad6a,Luna Moth Wing 000727df,"Invisibility, Damage Magicka"
